"TIME","CH2","CH3","CH4"
-1.7436e-02,-0.16,0.0022,0.88
-1.7432e-02,-0.172,0.001,0.86
-1.7428e-02,-0.164,0.0014,0.86
-1.7424e-02,-0.16,0.0018,0.82
-1.7420e-02,-0.16,0.0012,0.88
-1.7416e-02,-0.168,0.002,0.88
-1.7412e-02,-0.164,0.0026,0.82
-1.7408e-02,-0.168,0.0032,0.88
-1.7404e-02,-0.16,0.003,0.92
-1.7400e-02,-0.164,0.0028,0.84
-1.7396e-02,-0.168,0.0032,0.82
-1.7392e-02,-0.156,0.0036,0.88
-1.7388e-02,-0.164,0.0054,0.84
-1.7384e-02,-0.16,0.0066,0.8
-1.7380e-02,-0.164,0.0084,0.8
-1.7376e-02,-0.156,0.0108,0.68
-1.7372e-02,-0.156,0.0156,0.68
-1.7368e-02,-0.16,0.0218,0.64
-1.7364e-02,-0.156,0.0316,0.52
-1.7360e-02,-0.16,0.0404,0.46
-1.7356e-02,-0.168,0.043,0.38
-1.7352e-02,-0.164,0.0352,0.52
-1.7348e-02,-0.168,0.0236,0.52
-1.7344e-02,-0.168,0.0168,0.7
-1.7340e-02,-0.16,0.0112,0.68
-1.7336e-02,-0.164,0.0084,0.7
-1.7332e-02,-0.172,0.0066,0.76
-1.7328e-02,-0.164,0.0052,0.82
-1.7324e-02,-0.16,0.0042,0.76
-1.7320e-02,-0.172,0.0034,0.82
-1.7316e-02,-0.176,0.004,0.82
-1.7312e-02,-0.164,0.0036,0.9
-1.7308e-02,-0.168,0.0028,0.8
-1.7304e-02,-0.164,0.0024,0.84
-1.7300e-02,-0.156,0.0022,0.9
-1.7296e-02,-0.164,0.0022,0.82
-1.7292e-02,-0.156,0.001,0.84
-1.7288e-02,-0.156,0.0008,0.88
-1.7284e-02,-0.164,0.0016,0.86
-1.7280e-02,-0.172,0.0016,0.92
-1.7276e-02,-0.168,0.0012,0.88
-1.7272e-02,-0.16,0.001,0.82
-1.7268e-02,-0.16,0.0014,0.92
-1.7264e-02,-0.148,0.0016,0.84
-1.7260e-02,-0.164,0.0012,0.88
-1.7256e-02,-0.172,0.002,0.9
-1.7252e-02,-0.168,0.0014,0.82
-1.7248e-02,-0.164,0.0016,0.84
-1.7244e-02,-0.164,0.001,0.92
-1.7240e-02,-0.172,0.0016,0.8
-1.7236e-02,-0.156,0.0012,0.88
-1.7232e-02,-0.164,0.0016,0.9
-1.7228e-02,-0.168,0.0008,0.88
-1.7224e-02,-0.176,0.0008,0.88
-1.7220e-02,-0.156,0.0012,0.86
-1.7216e-02,-0.168,0.0008,0.86
-1.7212e-02,-0.176,0.0006,0.94
-1.7208e-02,-0.168,0.0008,0.88
-1.7204e-02,-0.168,0.0022,0.86
-1.7200e-02,-0.16,0.0008,0.8
-1.7196e-02,-0.168,0.0008,0.9
-1.7192e-02,-0.168,0.0006,0.88
-1.7188e-02,-0.168,0.0012,0.82
-1.7184e-02,-0.168,-2.84217e-18,0.78
