"TIME","CH1","CH2"
-1.1032e-01,0.394,-0.282
-1.1030e-01,0.39,-0.288
-1.1028e-01,0.39,-0.286
-1.1026e-01,0.39,-0.286
-1.1024e-01,0.392,-0.286
-1.1022e-01,0.392,-0.284
-1.1020e-01,0.396,-0.288
-1.1018e-01,0.388,-0.286
-1.1016e-01,0.396,-0.28
-1.1014e-01,0.394,-0.288
-1.1012e-01,0.386,-0.292
-1.1010e-01,0.388,-0.288
-1.1008e-01,0.392,-0.292
-1.1006e-01,0.394,-0.284
-1.1004e-01,0.39,-0.28
-1.1002e-01,0.39,-0.292
-1.1000e-01,0.392,-0.288
-1.0998e-01,0.394,-0.29
-1.0996e-01,0.392,-0.292
-1.0994e-01,0.386,-0.284
-1.0992e-01,0.394,-0.286
-1.0990e-01,0.388,-0.29
-1.0988e-01,0.39,-0.292
-1.0986e-01,0.396,-0.288
-1.0984e-01,0.384,-0.288
-1.0982e-01,0.402,-0.286
-1.0980e-01,0.396,-0.288
-1.0978e-01,0.394,-0.292
-1.0976e-01,0.39,-0.29
-1.0974e-01,0.388,-0.282
-1.0972e-01,0.386,-0.292
-1.0970e-01,0.4,-0.288
-1.0968e-01,0.396,-0.286
-1.0966e-01,0.392,-0.28
-1.0964e-01,0.394,-0.29
-1.0962e-01,0.398,-0.3
-1.0960e-01,0.4,-0.288
-1.0958e-01,0.394,-0.294
-1.0956e-01,0.386,-0.29
-1.0954e-01,0.388,-0.288
-1.0952e-01,0.39,-0.282
-1.0950e-01,0.394,-0.288
-1.0948e-01,0.394,-0.292
-1.0946e-01,0.39,-0.288
-1.0944e-01,0.392,-0.288
-1.0942e-01,0.39,-0.284
-1.0940e-01,0.398,-0.288
-1.0938e-01,0.394,-0.292
-1.0936e-01,0.392,-0.292
-1.0934e-01,0.39,-0.292
-1.0932e-01,0.39,-0.292
-1.0930e-01,0.392,-0.292
-1.0928e-01,0.386,-0.288
-1.0926e-01,0.4,-0.29
-1.0924e-01,0.396,-0.292
-1.0922e-01,0.392,-0.29
-1.0920e-01,0.39,-0.296
-1.0918e-01,0.394,-0.284
-1.0916e-01,0.4,-0.294
-1.0914e-01,0.386,-0.292
-1.0912e-01,0.388,-0.288
-1.0910e-01,0.392,-0.294
-1.0908e-01,0.388,-0.29
-1.0906e-01,0.394,-0.292
-1.0904e-01,0.394,-0.292
-1.0902e-01,0.396,-0.292
-1.0900e-01,0.392,-0.288
-1.0898e-01,0.396,-0.288
-1.0896e-01,0.388,-0.29
-1.0894e-01,0.396,-0.29
-1.0892e-01,0.392,-0.286
-1.0890e-01,0.39,-0.288
-1.0888e-01,0.388,-0.292
-1.0886e-01,0.4,-0.292
-1.0884e-01,0.39,-0.292
-1.0882e-01,0.39,-0.29
-1.0880e-01,0.392,-0.3
-1.0878e-01,0.396,-0.292
-1.0876e-01,0.396,-0.294
-1.0874e-01,0.386,-0.292
-1.0872e-01,0.386,-0.292
-1.0870e-01,0.388,-0.294
-1.0868e-01,0.392,-0.29
-1.0866e-01,0.392,-0.294
-1.0864e-01,0.388,-0.292
-1.0862e-01,0.39,-0.288
-1.0860e-01,0.39,-0.292
-1.0858e-01,0.386,-0.292
-1.0856e-01,0.392,-0.294
-1.0854e-01,0.39,-0.288
-1.0852e-01,0.388,-0.29
-1.0850e-01,0.39,-0.3
-1.0848e-01,0.386,-0.294
-1.0846e-01,0.384,-0.296
-1.0844e-01,0.392,-0.294
-1.0842e-01,0.39,-0.292
-1.0840e-01,0.39,-0.298
-1.0838e-01,0.39,-0.296
-1.0836e-01,0.392,-0.3
-1.0834e-01,0.384,-0.294
-1.0832e-01,0.392,-0.296
-1.0830e-01,0.392,-0.296
-1.0828e-01,0.396,-0.294
-1.0826e-01,0.396,-0.292
-1.0824e-01,0.394,-0.294
-1.0822e-01,0.392,-0.294
-1.0820e-01,0.398,-0.296
-1.0818e-01,0.394,-0.294
-1.0816e-01,0.394,-0.288
